Scenario,Iteration,Avg_Waiting_Time,Max_Waiting_Time,Total_Completion_Time
Sangat Padat,1,29.814294352619406,59.57931152462213,159.14762253301842
Sangat Padat,2,28.919396060401333,59.98705864716369,161.3660130665337
Sangat Padat,3,32.97256661061694,67.0873228644533,167.87755841235716
Sangat Padat,4,30.8568276705411,63.62145319593559,162.99219909617423
Sangat Padat,5,27.146975247404896,55.51048768136546,156.10861543601587
Sangat Padat,6,31.764335789489753,61.04407586028272,161.95388987251727
Sangat Padat,7,31.059948408554533,61.801229051586105,163.8220966027596
Sangat Padat,8,29.361408277707106,62.779018066652455,164.45331442275122
Sangat Padat,9,31.643492517543677,63.81861870422166,166.21514443512092
Sangat Padat,10,34.7990342418086,69.84196185938121,168.6056116973032
Sangat Padat,11,31.655631917276395,64.86820663472625,164.836369566028
Sangat Padat,12,33.53268736239279,63.970160809272,164.8738531408274
Sangat Padat,13,28.254341569557084,57.537151125108906,159.3991160508204
Sangat Padat,14,31.29662801014361,62.823347535762124,163.99786134624395
Sangat Padat,15,29.04948627699624,58.080628150054125,159.82696884399368
Sangat Padat,16,32.83670509968897,64.93116167800936,165.56117533588116
Sangat Padat,17,31.791126518042365,62.766004239831645,162.76809833145225
Sangat Padat,18,30.79139527290109,63.63187092518659,165.82772649859245
Sangat Padat,19,32.52719900003588,61.25387380682973,161.67278454136104
Sangat Padat,20,34.04421726733956,65.00225278016728,166.37574564583545
Sangat Padat,21,32.671750879252805,64.19730858515199,164.41442434182105
Sangat Padat,22,32.327710076360816,65.62866401646691,166.76451952386122
Sangat Padat,23,33.47371039280229,60.61171663695772,161.96042399756865
Sangat Padat,24,31.349480421232943,59.937237893550176,161.61041704173542
Sangat Padat,25,34.151505081472514,66.8671758989013,169.1863889951798
Sangat Padat,26,32.82996893320453,66.06929268329525,166.9718375208012
Sangat Padat,27,29.90381742334023,59.668801286137025,160.1888103546496
Sangat Padat,28,33.95639733692473,64.1278978452148,163.09135209533852
Sangat Padat,29,33.1651763495074,62.50069684066601,163.29042200327444
Sangat Padat,30,31.361690615358405,65.33317686396573,165.86170508956087
Sangat Padat,31,30.290047793736456,61.575206992609466,162.69046852521285
Sangat Padat,32,30.548298101165265,62.663414391259565,164.03317439997363
Sangat Padat,33,28.468955339634523,58.52842453145668,160.254633152101
Sangat Padat,34,29.652846569093583,58.03955891190158,157.7030770551589
Sangat Padat,35,33.811625966157116,67.8332488214689,168.4241386380769
Sangat Padat,36,34.16319080081312,62.8415026707374,163.5876239680794
Sangat Padat,37,30.867208773532525,64.28928711926936,165.165991855347
Sangat Padat,38,31.297240453225186,64.80877124573443,165.54226699386302
Sangat Padat,39,32.965143490140974,64.4205099963162,164.89756336380285
Sangat Padat,40,31.00982069826183,63.57072073485985,165.3722639538093
Sangat Padat,41,31.127921887473395,61.966555115377176,162.87720335087468
Sangat Padat,42,32.41526614620702,66.63429897716306,168.10682449715574
Sangat Padat,43,31.404486691842447,59.85688553658029,161.230569364667
Sangat Padat,44,31.595858807405545,58.07358415502179,160.186886381243
Sangat Padat,45,31.775294911928405,61.38669148355616,162.38561817488917
Sangat Padat,46,33.14790137578275,66.07721175224098,167.3618114136836
Sangat Padat,47,30.381930510533344,61.16806477867509,162.07997307461997
Sangat Padat,48,30.42845110040424,62.3551640550037,161.3141924995945
Sangat Padat,49,28.319937363118136,56.95277946988203,159.2380748412689
Sangat Padat,50,30.889820716517413,62.6775041148005,165.11104978276924
Sangat Padat,51,32.35504676823829,66.91583030481105,166.79374452163898
Sangat Padat,52,32.63128398843972,64.77795000441962,165.00234172061414
Sangat Padat,53,32.32240309716953,64.52603675446848,166.2617702932603
Sangat Padat,54,32.105274541181736,63.73182564724685,164.3660984508681
Sangat Padat,55,27.547794422735677,54.79999543132914,155.12599203035597
Sangat Padat,56,34.03478718322537,67.2817660612095,168.17579286635424
Sangat Padat,57,35.3890288860001,67.1313319337195,168.24499585522804
Sangat Padat,58,33.41822130602934,68.12478667257913,169.49055788426716
Sangat Padat,59,33.47670521884523,67.85678813872856,169.14369076168725
Sangat Padat,60,29.044528950773742,56.35506055071262,158.0715737691431
Sangat Padat,61,29.54334390132932,60.494088178777716,161.17680619576262
Sangat Padat,62,28.829895921224722,59.895529771216715,162.1162667580826
Sangat Padat,63,26.361228092460244,54.84466027190096,155.8905532664254
Sangat Padat,64,29.47051326066632,62.03653789165675,162.2787084030648
Sangat Padat,65,29.22539935045461,57.11480340761244,158.98041328204243
Sangat Padat,66,30.5580697166621,62.537759015476794,164.04735683692311
Sangat Padat,67,31.234414206098773,60.457664885746155,162.17047903623993
