Scenario,Iteration,Avg_Waiting_Time,Max_Waiting_Time,Total_Completion_Time
Sepi,1,0.0,0.0,91.34007932219922
Sepi,2,0.0,0.0,90.52817903172438
Sepi,3,0.0,0.0,88.6389181837224
Sepi,4,0.0,0.0,91.85984501961018
Sepi,5,0.0,0.0,91.79899993402351
Sepi,6,0.0,0.0,88.98691211812627
Sepi,7,0.0,0.0,91.69868303723287
Sepi,8,0.0,0.0,90.45615430164173
Sepi,9,0.0,0.0,90.47817936537277
Sepi,10,0.0,0.0,90.72277428014272
Sepi,11,0.0,0.0,89.61709661252668
Sepi,12,0.0,0.0,88.56146360702672
Sepi,13,0.0,0.0,90.3628814202925
Sepi,14,0.0,0.0,91.21618537596855
Sepi,15,0.0,0.0,90.33247303751224
Sepi,16,0.0,0.0,89.20406640889155
Sepi,17,0.0,0.0,89.88179113582031
Sepi,18,0.0,0.0,90.3266891783077
Sepi,19,0.0,0.0,89.57404993785957
Sepi,20,0.0,0.0,89.8235766414727
Sepi,21,0.0,0.0,90.68024442096981
Sepi,22,0.0,0.0,91.91779500970071
Sepi,23,0.0,0.0,88.93997542525612
Sepi,24,0.0,0.0,91.82664463699409
Sepi,25,0.0,0.0,89.86936416362362
Sepi,26,0.0,0.0,89.82316159770505
Sepi,27,0.0,0.0,89.8720740879962
Sepi,28,0.0,0.0,90.33718820844197
Sepi,29,0.0,0.0,91.89207526293107
Sepi,30,0.0,0.0,89.09418899359426
Sepi,31,0.0,0.0,90.59535014670757
Sepi,32,0.0,0.0,88.39213472470526
Sepi,33,0.0,0.0,88.71669502234035
Sepi,34,0.0,0.0,91.42956042232589
Sepi,35,0.0,0.0,88.30592321816488
Sepi,36,0.0,0.0,90.28518152329727
Sepi,37,0.0,0.0,90.38232517080488
Sepi,38,0.0,0.0,89.11516028703048
Sepi,39,0.0,0.0,90.95499056627243
Sepi,40,0.0,0.0,89.27364180348786
Sepi,41,0.0,0.0,90.71808955030113
Sepi,42,0.0,0.0,91.41366567423094
Sepi,43,0.0,0.0,88.35896381076927
Sepi,44,0.0,0.0,88.73517064804143
Sepi,45,0.0,0.0,88.39290278062465
Sepi,46,0.0,0.0,90.99228735578029
Sepi,47,0.0,0.0,91.5036185590812
Sepi,48,0.0,0.0,92.2197631434582
Sepi,49,0.0,0.0,91.13545812089177
Sepi,50,0.0,0.0,90.20353890502336
Sepi,51,0.0,0.0,90.3135232734553
Sepi,52,0.0,0.0,88.46277490358848
Sepi,53,0.0,0.0,90.90188450941565
Sepi,54,0.0,0.0,90.51686646578655
Sepi,55,0.0,0.0,89.85098876583537
Sepi,56,0.0,0.0,88.52721117430501
Sepi,57,0.0,0.0,88.41855837633278
Sepi,58,0.0,0.0,89.32492348216536
Sepi,59,0.0,0.0,91.77125333262487
Sepi,60,0.0,0.0,91.68561578940414
Sepi,61,0.0,0.0,88.6508660767679
Sepi,62,0.0,0.0,89.53176249169273
Sepi,63,0.0,0.0,91.41622732239014
Sepi,64,0.0,0.0,89.6749731091173
Sepi,65,0.0,0.0,91.4581290797017
Sepi,66,0.0,0.0,88.81992344788023
Sepi,67,0.0,0.0,90.07362917430851
Sepi,68,0.0,0.0,89.93876101479272
Sepi,69,0.0,0.0,89.19923330962939
Sepi,70,0.0,0.0,92.05576622524694
Sepi,71,0.0,0.0,90.95533859606465
Sepi,72,0.0,0.0,88.31820732335488
Sepi,73,0.0,0.0,91.22672019694936
Sepi,74,0.0,0.0,91.62048483399234
Sepi,75,0.0,0.0,91.59723959127604
Sepi,76,0.0,0.0,89.05057001774682
Sepi,77,0.0,0.0,89.70766560125863
Sepi,78,0.0,0.0,90.64837814561704
Sepi,79,0.0,0.0,91.177079936188
Sepi,80,0.0,0.0,90.30674254418649
Sepi,81,0.0,0.0,88.77584380834197
Sepi,82,0.0,0.0,88.79140896370161
Sepi,83,0.0,0.0,92.12244879775737
Sepi,84,0.0,0.0,92.01722006723236
Sepi,85,0.0,0.0,91.74574779183939
Sepi,86,0.0,0.0,90.3277460040102
Sepi,87,0.0,0.0,91.8103863192627
Sepi,88,0.0,0.0,90.34402596772193
Sepi,89,0.0,0.0,91.53834033006356
Sepi,90,0.0,0.0,91.65737651485438
Sepi,91,0.0,0.0,90.476190003153
Sepi,92,0.0,0.0,92.08566890752734
Sepi,93,0.0,0.0,91.64348297679595
Sepi,94,0.0,0.0,91.55157467649825
Sepi,95,0.0,0.0,90.84332451741312
Sepi,96,0.0,0.0,90.30071799301514
Sepi,97,0.0,0.0,91.04346254335789
Sepi,98,0.0,0.0,90.98078713320166
Sepi,99,0.0,0.0,91.7292218530966
Sepi,100,0.0,0.0,89.95415178879182
Sepi,101,0.0,0.0,88.80480405555886
Sepi,102,0.0,0.0,88.3445743587091
Sepi,103,0.0,0.0,89.38804923050621
Sepi,104,0.0,0.0,89.62353563535326
Sepi,105,0.0,0.0,91.12300042105485
Sepi,106,0.0,0.0,89.78058950652334
Sepi,107,0.0,0.0,90.27615743524815
Sepi,108,0.0,0.0,88.29168858989947
Sepi,109,0.0,0.0,92.02517958308911
