Scenario,Iteration,Avg_Waiting_Time,Max_Waiting_Time,Total_Completion_Time
Normal,1,0.0,0.0,91.92608482750067
Normal,2,0.0,0.0,92.62397277146593
Normal,3,0.0,0.0,92.30273016694596
Normal,4,0.0,0.0,90.74450788467034
Normal,5,0.0,0.0,92.30549909269152
Normal,6,0.0,0.0,92.4470257437179
Normal,7,0.0,0.0,90.75378459087183
Normal,8,0.0,0.0,93.85106455200876
Normal,9,0.0,0.0,91.71726745437941
Normal,10,0.0,0.0,90.88203951004635
Normal,11,0.0,0.0,91.38351542658185
Normal,12,0.0,0.0,93.79854757308439
Normal,13,0.0,0.0,93.59290358532735
Normal,14,0.0,0.0,92.78984519352998
Normal,15,0.0,0.0,93.5594209934219
Normal,16,0.0,0.0,91.71906236014613
Normal,17,0.0,0.0,91.78650166483712
Normal,18,0.0,0.0,91.79903611920886
Normal,19,0.0,0.0,92.51179725945758
Normal,20,0.0,0.0,90.60419504115546
Normal,21,0.0,0.0,93.16049334241316
Normal,22,0.0,0.0,92.07255183237795
Normal,23,0.0,0.0,90.67906903019242
Normal,24,0.0,0.0,92.56997540357006
Normal,25,0.0,0.0,90.74711007503421
Normal,26,0.0,0.0,92.86638095290735
Normal,27,0.0,0.0,93.24685845183897
Normal,28,0.0,0.0,93.72824852884608
Normal,29,0.0,0.0,93.59577148057846
Normal,30,0.0,0.0,91.02483340512967
Normal,31,0.0,0.0,93.36662588433998
Normal,32,0.0,0.0,91.00455963433812
Normal,33,0.0,0.0,91.43623958340937
Normal,34,0.0,0.0,93.79907465161996
Normal,35,0.0,0.0,91.7164390875356
Normal,36,0.0,0.0,90.04698329144108
Normal,37,0.0,0.0,91.1340548353815
Normal,38,0.0,0.0,93.35178167726718
Normal,39,0.0,0.0,92.67212204597017
Normal,40,0.0,0.0,93.87092862124781
Normal,41,0.0,0.0,90.71015589803163
Normal,42,0.0,0.0,93.58453968766426
Normal,43,0.0,0.0,90.99808130480058
Normal,44,0.0,0.0,91.42351640348988
Normal,45,0.0,0.0,90.13581381759641
Normal,46,0.0,0.0,92.89021883729211
Normal,47,0.0,0.0,92.6942634162628
Normal,48,0.0,0.0,90.75642225287527
Normal,49,0.0,0.0,93.00290922857583
Normal,50,0.0,0.0,93.39506987204557
Normal,51,0.0,0.0,92.23393990359247
Normal,52,0.0,0.0,93.32909337798974
Normal,53,0.0,0.0,92.91102578370545
Normal,54,0.0,0.0,92.3638503850197
Normal,55,0.0,0.0,92.57037629012619
Normal,56,0.0,0.0,91.51429438720173
Normal,57,0.0,0.0,93.33944613817303
Normal,58,0.0,0.0,93.42876114157298
Normal,59,0.0,0.0,90.80472487510015
Normal,60,0.0,0.0,92.08775607884033
Normal,61,0.0,0.0,91.81239377324867
Normal,62,0.0,0.0,92.35478969864312
Normal,63,0.0,0.0,91.10360892560826
Normal,64,0.0,0.0,93.67699007420583
Normal,65,0.0,0.0,92.30760246327101
Normal,66,0.0,0.0,93.08382054009188
Normal,67,0.0,0.0,92.67546990952623
Normal,68,0.0,0.0,93.5259839664559
Normal,69,0.0,0.0,90.69300240098848
Normal,70,0.0,0.0,93.0346206222665
Normal,71,0.0,0.0,91.19682237929496
Normal,72,0.0,0.0,92.02753752357553
Normal,73,0.0,0.0,93.29612153860946
Normal,74,0.0,0.0,91.96156611525879
Normal,75,0.0,0.0,92.76354275327867
Normal,76,0.0,0.0,93.56594595845183
Normal,77,0.0,0.0,93.82803059330496
Normal,78,0.0,0.0,92.10877737341197
Normal,79,0.0,0.0,93.58910838013358
