Scenario,Num_Transactions,Avg_IA_Time,Avg_Waiting_Time,Std_Waiting_Time,Min_Waiting_Time,Max_Waiting_Time,Median_Waiting_Time,P95_Waiting_Time,P99_Waiting_Time,Avg_Queue_Length,Max_Queue_Length,Avg_Server_Utilization,Avg_Completion_Time,Std_Completion_Time
Sepi,20,4.743052157837257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39070000000000005,0.65,22.155048344660077,90.230247517481,1.1246703301834224
Normal,40,2.3360223711865453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.248,1.6,43.40406749060746,92.11165890803241,1.0181563123990025
Padat,80,1.2035599431385853,0.19757814304078516,0.4333180141873231,0.0,3.728401913408046,0.0,1.2176892941867221,1.9347173893020548,2.9509125,3.85,81.07804069450147,98.66611175447818,0.983622570460541
Sangat Padat,160,0.6123246701890291,30.989433244948344,18.213775488009617,0.0,74.83365370467014,31.008389184872208,59.26796342160365,64.10039496956072,34.355712499999996,39.91875,98.61524963703239,162.43794285693542,3.9019731813645238
